target,rocm_kernels_per_step,mojo_kernels_per_step,rocm_us_per_step,mojo_us_per_step,ratio,gap_us_per_step,rocm_top_kernels,mojo_top_kernels
Linear GEMM (backward),146,147,43646.4,346891.3,7.9478,303244.9,"Tensile:MT256x256x32_MI16x16x1 11.0ms, Tensile:MT128x512x32_MI16x16x1 6.0ms","op_utils___init____copy_stride6A6A6A6A 144.9ms, multistage_gemm_kernel_bfloat16_bfloat16_bfl 140.8ms"
SDPA (backward),12,204,33952.9,239238.8,7.0462,205285.9,bwd_kernel_fuse 34.0ms,"pure_gemm_tiled_bfloat16_64x64x16_tbFalse 87.5ms, logic_ops__bin_bcast_kernel_D6A6AcB6A6A 50.7ms"
Linear GEMM (forward),49,49,24032.0,171837.4,7.1504,147805.4,"Tensile:MT256x224x64_MI16x16x1 13.2ms, Tensile:MT192x224x64_MI16x16x1 6.5ms","multistage_gemm_kernel_bfloat16_bfloat16_bfl 89.4ms, multistage_gemm_kernel_bfloat16_bfloat16_bfl 49.3ms"
SDPA (forward),12,72,9082.7,105096.1,11.5710,96013.4,attn_fwd 9.1ms,"softmax_temperature_bfloat16_float32_1 41.9ms, pure_gemm_tiled_bfloat16_64x64x16_tbFalse 28.8ms"
Copies / dtype casts / layout,188,222,11441.6,26004.2,2.2728,14562.6,"vectorized_elementwise_kernel<4, bfloat16_co 6.3ms, vectorized_elementwise_kernel<4, bfloat16tof 5.1ms","data_movement_ops__permute_copy6A6A 11.0ms, elementwise_r1_w1_b256_gs_False 8.0ms"
Cross entropy (backward),2,2,4419.3,7232.6,1.6366,2813.3," 4.1ms,  0.3ms","lsm_bwd_nosmem_bfloat16 5.3ms, nanogpt_nll_backward_vec4 2.0ms"
Residual / elementwise add,52,127,4460.2,5340.1,1.1973,879.9,"vectorized_elementwise_kernel<4, CUDAFunctor 2.4ms, vectorized_templated_elementwise_kernel<4, C 1.9ms","logic_ops__bin_flat_vec_kernel6A6AcB 2.7ms, torch_mojo_add_f32_bf16_vec4 2.1ms"
GELU (forward),12,12,2183.1,2629.1,1.2043,445.9,"vectorized_elementwise_kernel<8, GeluCUDAKer 2.2ms",gelu_forward_bf16_exact_vec16 2.6ms
Cross entropy (forward),2,3,4155.9,4599.2,1.1067,443.2," 3.8ms,  0.3ms","log_softmax_rows_block_bfloat16_1024 4.6ms, nanogpt_nll_forward_mean_partial 0.0ms"
Embedding,18,8,539.7,512.7,0.9500,-27.0," 0.2ms,  0.1ms","nanogpt_embedding_dense_backward_scatter_his 0.3ms, elementwise_r1_w1_b256_gs_False 0.1ms"
Misc reductions / indexing,5,3,130.7,50.8,0.3888,-79.9,"vectorized_gather_kernel<16, long> 0.1ms, reduce_kernel<128, 4, ReduceOp<float, func_w 0.0ms","std_algorithm_backend_gpu_re6A6A6A6A6A6A6A6A 0.0ms, elementwise_r1_w1_b256_gs_False 0.0ms"
Gradient clipping,18,11,583.0,462.0,0.7925,-121.0," 0.4ms,  0.2ms","foreach_mul_tensor_f32_aligned_streaming_ilp 0.3ms, foreach_l2_norm_f32_chunk_partials_v1 0.2ms"
Concat / stack,13,111,2029.5,1814.8,0.8942,-214.7," 2.0ms,  0.0ms","data_movement_ops__narrow_copy_6A6A 1.5ms, data_movement_ops__narrow_copy_6A6A 0.4ms"
Optimizer (fused AdamW),9,3,1230.7,988.8,0.8035,-241.9," 1.2ms,  0.0ms",fused_adamw_f32_dynamic_multitensor 1.0ms
GELU (backward),12,12,3319.2,2954.4,0.8901,-364.7,"vectorized_elementwise_kernel<8, GeluBackwar 3.3ms",nanogpt_gelu_backward_exact_bf16 3.0ms
LayerNorm (forward),25,25,2515.0,1793.8,0.7132,-721.2, 2.5ms,layer_norm_forward_f32_vec4 1.8ms
Zero / fill grads,24,0,2118.7,0.0,0.0000,-2118.7,"vectorized_elementwise_kernel<4, FillFunctor 2.0ms, vectorized_elementwise_kernel<4, FillFunctor 0.1ms",
LayerNorm (backward),75,75,7196.2,4904.7,0.6816,-2291.4," 3.5ms,  3.5ms","nanogpt_layer_norm_backward_dx_f32_c3 2.9ms, nanogpt_layer_norm_backward_params_partial 1.9ms"
