aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,1040673.9,346891.3,59.98,3539.71
aten::linear,441,147.00,515512.2,171837.4,29.71,1168.96
aten::_to_copy,1044,348.00,45119.4,15039.8,2.60,43.22
aten::clone,288,96.00,32893.1,10964.4,1.90,114.21
aten::_log_softmax_backward_data,6,2.00,15826.8,5275.6,0.91,2637.81
aten::add,306,102.00,14837.7,4945.9,0.86,48.49
aten::native_layer_norm_backward,150,50.00,14714.2,4904.7,0.85,98.09
aten::_log_softmax,6,2.00,13761.3,4587.1,0.79,2293.55
aten::gelu_backward,72,24.00,8863.3,2954.4,0.51,123.10
aten::gelu,72,24.00,7887.2,2629.1,0.45,109.54
aten::nll_loss_backward,9,3.00,5870.9,1957.0,0.34,652.32
aten::native_layer_norm,150,50.00,5381.3,1793.8,0.31,35.88
aten::cat,72,24.00,4368.3,1456.1,0.25,60.67
aten::_fused_adamw_,12,4.00,2966.4,988.8,0.17,247.20
aten::add_,225,75.00,2256.4,752.1,0.13,10.03
aten::embedding_dense_backward,12,4.00,1104.5,368.2,0.06,92.04
aten::stack,6,2.00,1076.1,358.7,0.06,179.36
aten::_foreach_mul_,6,2.00,787.5,262.5,0.05,131.25
aten::_foreach_norm,6,2.00,522.5,174.2,0.03,87.08
aten::embedding,12,4.00,433.5,144.5,0.02,36.13
aten::sum,6,2.00,123.6,41.2,0.01,20.60
aten::linalg_vector_norm,9,3.00,61.0,20.3,0.00,6.78
aten::nll_loss_forward,9,3.00,36.3,12.1,0.00,4.03
aten::arange,9,3.00,26.1,8.7,0.00,2.90
aten::mul,6,2.00,15.1,5.0,0.00,2.52
aten::reciprocal,6,2.00,15.0,5.0,0.00,2.51
aten::clamp,6,2.00,14.8,4.9,0.00,2.47
aten::ones_like,6,2.00,14.6,4.9,0.00,2.43
