aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,389328.2,129776.1,22.44,64888.03
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,233128.5,77709.5,13.44,3237.90
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,177604.8,59201.6,10.24,2466.73
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,172820.8,57606.9,9.96,2400.29
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,148034.6,49344.9,8.53,16448.29
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,133944.8,44648.3,7.72,1240.23
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,100411.2,33470.4,5.79,929.73
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,99346.4,33115.5,5.73,919.87
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,67791.6,22597.2,3.91,941.55
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,33775.1,11258.4,1.95,312.73
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,32893.1,10964.4,1.90,114.21
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26194.1,8731.4,1.51,2182.84
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16083.3,5361.1,0.93,36.22
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15826.8,5275.6,0.91,2637.81
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14714.2,4904.7,0.85,98.09
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14225.8,4741.9,0.82,49.40
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13761.3,4587.1,0.79,2293.55
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8863.3,2954.4,0.51,123.10
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7887.2,2629.1,0.45,109.54
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5870.9,1957.0,0.34,1956.97
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5381.3,1793.8,0.31,35.88
aten::cat,"[[], []]",72,24.00,4368.3,1456.1,0.25,60.67
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2966.4,988.8,0.17,247.20
aten::add_,"[[], [], []]",225,75.00,2256.4,752.1,0.13,10.03
aten::stack,"[[], []]",6,2.00,1076.1,358.7,0.06,179.36
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1045.3,348.4,0.06,174.21
aten::_foreach_mul_,"[[], []]",6,2.00,787.5,262.5,0.05,131.25
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,713.3,237.8,0.04,4.95
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,712.6,237.5,0.04,4.95
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,568.2,189.4,0.03,3.95
aten::_foreach_norm,"[[], [], []]",6,2.00,522.5,174.2,0.03,87.08
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,470.8,156.9,0.03,39.24
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,414.6,138.2,0.02,69.10
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,377.0,125.7,0.02,2.62
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,323.1,107.7,0.02,53.86
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,273.1,91.0,0.02,45.52
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,123.6,41.2,0.01,20.60
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,61.0,20.3,0.00,20.34
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,59.2,19.7,0.00,9.87
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.3,12.1,0.00,12.09
aten::arange,"[[], [], [], [0]]",6,2.00,26.1,8.7,0.00,4.36
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,18.9,6.3,0.00,3.15
aten::add,"[[], [], []]",6,2.00,15.7,5.2,0.00,2.61
aten::mul,"[[], []]",6,2.00,15.1,5.0,0.00,2.52
aten::reciprocal,[[]],6,2.00,15.0,5.0,0.00,2.51
aten::clamp,"[[], [], []]",6,2.00,14.8,4.9,0.00,2.47
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.6,4.9,0.00,2.43
