aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,559564.8,186521.6,58.56,1903.28
aten::linear,441,147.00,217304.4,72434.8,22.74,492.75
aten::_to_copy,1044,348.00,45073.8,15024.6,4.72,43.17
aten::clone,288,96.00,32957.9,10986.0,3.45,114.44
aten::_log_softmax_backward_data,6,2.00,15811.5,5270.5,1.65,2635.25
aten::native_layer_norm_backward,150,50.00,14837.3,4945.8,1.55,98.92
aten::add,306,102.00,14684.3,4894.8,1.54,47.99
aten::_log_softmax,6,2.00,13452.2,4484.1,1.41,2242.03
aten::gelu_backward,72,24.00,8848.5,2949.5,0.93,122.90
aten::gelu,72,24.00,7908.4,2636.1,0.83,109.84
aten::nll_loss_backward,9,3.00,5919.8,1973.3,0.62,657.76
aten::native_layer_norm,150,50.00,5365.3,1788.4,0.56,35.77
aten::cat,72,24.00,4378.7,1459.6,0.46,60.82
aten::_fused_adamw_,12,4.00,3011.4,1003.8,0.32,250.95
aten::add_,225,75.00,2231.4,743.8,0.23,9.92
aten::embedding_dense_backward,12,4.00,1088.8,362.9,0.11,90.74
aten::stack,6,2.00,1075.5,358.5,0.11,179.24
aten::_foreach_mul_,6,2.00,802.9,267.6,0.08,133.82
aten::_foreach_norm,6,2.00,527.6,175.9,0.06,87.93
aten::embedding,12,4.00,442.2,147.4,0.05,36.85
aten::sum,6,2.00,125.1,41.7,0.01,20.85
aten::linalg_vector_norm,9,3.00,60.4,20.1,0.01,6.71
aten::nll_loss_forward,9,3.00,36.5,12.2,0.00,4.06
aten::arange,9,3.00,27.2,9.1,0.00,3.02
aten::ones_like,6,2.00,14.9,5.0,0.00,2.49
aten::mul,6,2.00,14.7,4.9,0.00,2.45
aten::clamp,6,2.00,14.6,4.9,0.00,2.43
aten::reciprocal,6,2.00,14.6,4.9,0.00,2.43
