aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,143176.0,47725.3,14.98,23862.67
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,132461.2,44153.7,13.86,1839.74
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,125778.0,41926.0,13.16,1746.92
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,116381.2,38793.7,12.18,1616.41
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,66499.9,22166.6,6.96,7388.87
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,50119.3,16706.4,5.24,464.07
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,49890.4,16630.1,5.22,461.95
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,41768.4,13922.8,4.37,580.12
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,37408.0,12469.3,3.91,346.37
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,32957.9,10986.0,3.45,114.44
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,26111.8,8703.9,2.73,2175.98
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,16116.3,5372.1,1.69,36.30
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15811.5,5270.5,1.65,2635.25
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,14837.3,4945.8,1.55,98.92
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14067.4,4689.1,1.47,48.85
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,13452.2,4484.1,1.41,2242.03
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,13387.0,4462.3,1.40,123.95
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,8848.5,2949.5,0.93,122.90
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7908.4,2636.1,0.83,109.84
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5919.8,1973.3,0.62,1973.27
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5365.3,1788.4,0.56,35.77
aten::cat,"[[], []]",72,24.00,4378.7,1459.6,0.46,60.82
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,3011.4,1003.8,0.32,250.95
aten::add_,"[[], [], []]",225,75.00,2231.4,743.8,0.23,9.92
aten::stack,"[[], []]",6,2.00,1075.5,358.5,0.11,179.24
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1031.5,343.8,0.11,171.92
aten::_foreach_mul_,"[[], []]",6,2.00,802.9,267.6,0.08,133.82
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,712.1,237.4,0.07,4.95
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,709.6,236.5,0.07,4.93
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,570.9,190.3,0.06,3.96
aten::_foreach_norm,"[[], [], []]",6,2.00,527.6,175.9,0.06,87.93
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,472.2,157.4,0.05,39.35
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,422.6,140.9,0.04,70.43
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,380.8,126.9,0.04,2.64
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,326.9,109.0,0.03,54.48
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,275.5,91.8,0.03,45.92
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,125.1,41.7,0.01,20.85
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,60.4,20.1,0.01,20.12
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,57.3,19.1,0.01,9.55
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,36.5,12.2,0.00,12.17
aten::arange,"[[], [], [], [0]]",6,2.00,27.2,9.1,0.00,4.54
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.6,6.5,0.00,3.27
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.9,5.0,0.00,2.49
aten::mul,"[[], []]",6,2.00,14.7,4.9,0.00,2.45
aten::clamp,"[[], [], []]",6,2.00,14.6,4.9,0.00,2.43
aten::reciprocal,[[]],6,2.00,14.6,4.9,0.00,2.43
aten::add,"[[], [], []]",6,2.00,14.5,4.8,0.00,2.42
