aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::mm,441,147.00,203035.0,67678.3,43.10,460.40
aten::_flash_attention_backward,36,12.00,101858.7,33952.9,21.62,2829.41
aten::copy_,522,174.00,34324.7,11441.6,7.29,65.76
aten::_flash_attention_forward,36,12.00,27248.2,9082.7,5.78,756.90
aten::native_layer_norm_backward,75,25.00,21588.5,7196.2,4.58,287.85
aten::_log_softmax_backward_data,3,1.00,12283.5,4094.5,2.61,4094.49
aten::_log_softmax,3,1.00,11529.3,3843.1,2.45,3843.09
aten::gelu_backward,36,12.00,9957.5,3319.2,2.11,276.60
aten::native_layer_norm,75,25.00,7544.9,2515.0,1.60,100.60
aten::add_,75,25.00,7285.7,2428.6,1.55,97.14
aten::gelu,36,12.00,6549.4,2183.1,1.39,181.93
aten::fill_,51,17.00,6356.0,2118.7,1.35,124.63
aten::cat,39,13.00,6088.5,2029.5,1.29,156.11
aten::add,78,26.00,6079.6,2026.5,1.29,77.94
aten::_fused_adamw_,6,2.00,3661.4,1220.5,0.78,610.24
aten::embedding_dense_backward,6,2.00,1634.1,544.7,0.35,272.36
aten::_foreach_mul_,3,1.00,1108.8,369.6,0.24,369.61
aten::nll_loss_backward,3,1.00,974.5,324.8,0.21,324.84
aten::nll_loss_forward,3,1.00,938.6,312.9,0.20,312.86
aten::_foreach_norm,3,1.00,589.9,196.6,0.13,196.64
aten::gather,6,2.00,245.0,81.7,0.05,40.84
aten::sum,3,1.00,116.9,39.0,0.02,38.95
aten::_foreach_add_,6,2.00,30.5,10.2,0.01,5.09
aten::arange,12,4.00,30.3,10.1,0.01,2.53
aten::linalg_vector_norm,3,1.00,18.7,6.2,0.00,6.23
aten::clamp,3,1.00,15.8,5.3,0.00,5.26
aten::reciprocal,3,1.00,15.7,5.2,0.00,5.22
aten::mul,3,1.00,15.4,5.1,0.00,5.12
