aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::_flash_attention_backward,"[[48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 12, 1024], [], [], [], [], [], [], [], [], [], [], []]",36,12.00,101858.7,33952.9,21.62,2829.41
aten::mm,"[[49152, 768], [768, 3072]]",72,24.00,33803.3,11267.8,7.18,469.49
aten::mm,"[[49152, 3072], [3072, 768]]",72,24.00,28693.1,9564.4,6.09,398.52
aten::_flash_attention_forward,"[[48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",36,12.00,27248.2,9082.7,5.78,756.90
aten::mm,"[[49152, 768], [768, 50304]]",3,1.00,22318.9,7439.6,4.74,7439.62
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",75,25.00,21588.5,7196.2,4.58,287.85
aten::copy_,"[[49152, 50304], [49152, 50304], []]",6,2.00,20604.8,6868.3,4.37,3434.13
aten::mm,"[[49152, 50304], [50304, 768]]",3,1.00,18689.2,6229.7,3.97,6229.72
aten::mm,"[[50304, 49152], [49152, 768]]",3,1.00,18043.2,6014.4,3.83,6014.39
aten::mm,"[[3072, 49152], [49152, 768]]",36,12.00,15256.0,5085.3,3.24,423.78
aten::mm,"[[768, 49152], [49152, 3072]]",36,12.00,14995.4,4998.5,3.18,416.54
aten::mm,"[[49152, 768], [768, 2304]]",36,12.00,12946.5,4315.5,2.75,359.62
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",3,1.00,12283.5,4094.5,2.61,4094.49
aten::mm,"[[2304, 49152], [49152, 768]]",36,12.00,11846.0,3948.7,2.51,329.06
aten::mm,"[[49152, 2304], [2304, 768]]",36,12.00,11734.8,3911.6,2.49,325.97
aten::_log_softmax,"[[49152, 50304], [], []]",3,1.00,11529.3,3843.1,2.45,3843.09
aten::copy_,"[[48, 1024, 768], [48, 1024, 768], []]",222,74.00,11429.1,3809.7,2.43,51.48
