aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,294,98.00,166940.3,55646.8,42.48,567.82
aten::linear,441,147.00,85122.1,28374.0,21.66,193.02
aten::_to_copy,1044,348.00,38506.9,12835.6,9.80,36.88
aten::_log_softmax_backward_data,6,2.00,15862.4,5287.5,4.04,2643.73
aten::native_layer_norm_backward,150,50.00,15247.1,5082.4,3.88,101.65
aten::add,306,102.00,14769.5,4923.2,3.76,48.27
aten::_log_softmax,6,2.00,14327.0,4775.7,3.65,2387.83
aten::gelu_backward,72,24.00,9241.3,3080.4,2.35,128.35
aten::gelu,72,24.00,7886.4,2628.8,2.01,109.53
aten::nll_loss_backward,9,3.00,5925.5,1975.2,1.51,658.39
aten::native_layer_norm,150,50.00,5291.8,1763.9,1.35,35.28
aten::cat,72,24.00,4403.8,1467.9,1.12,61.16
aten::_fused_adamw_,12,4.00,2939.9,980.0,0.75,244.99
aten::add_,225,75.00,2286.4,762.1,0.58,10.16
aten::embedding_dense_backward,12,4.00,1103.5,367.8,0.28,91.96
aten::stack,6,2.00,1094.3,364.8,0.28,182.38
aten::_foreach_mul_,6,2.00,800.2,266.7,0.20,133.37
aten::_foreach_norm,6,2.00,523.2,174.4,0.13,87.20
aten::embedding,12,4.00,433.7,144.6,0.11,36.15
aten::sum,6,2.00,122.6,40.9,0.03,20.44
aten::linalg_vector_norm,9,3.00,64.2,21.4,0.02,7.13
aten::nll_loss_forward,9,3.00,37.4,12.5,0.01,4.16
aten::arange,9,3.00,27.7,9.2,0.01,3.07
aten::ones_like,6,2.00,15.9,5.3,0.00,2.65
aten::mul,6,2.00,15.3,5.1,0.00,2.55
aten::clamp,6,2.00,15.0,5.0,0.00,2.50
aten::reciprocal,6,2.00,14.9,5.0,0.00,2.48
