aten_op,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::mm,441,147.00,202542.2,67514.1,43.06,459.28
aten::_flash_attention_backward,36,12.00,101893.5,33964.5,21.66,2830.38
aten::copy_,522,174.00,34265.6,11421.9,7.28,65.64
aten::_flash_attention_forward,36,12.00,27223.8,9074.6,5.79,756.22
aten::native_layer_norm_backward,75,25.00,21535.4,7178.5,4.58,287.14
aten::_log_softmax_backward_data,3,1.00,12285.6,4095.2,2.61,4095.19
aten::_log_softmax,3,1.00,11454.5,3818.2,2.44,3818.16
aten::gelu_backward,36,12.00,9919.1,3306.4,2.11,275.53
aten::native_layer_norm,75,25.00,7561.0,2520.3,1.61,100.81
aten::add_,75,25.00,7298.8,2432.9,1.55,97.32
aten::gelu,36,12.00,6539.4,2179.8,1.39,181.65
aten::fill_,51,17.00,6361.8,2120.6,1.35,124.74
aten::add,78,26.00,6104.4,2034.8,1.30,78.26
aten::cat,39,13.00,6078.7,2026.2,1.29,155.86
aten::_fused_adamw_,6,2.00,3592.0,1197.3,0.76,598.66
aten::embedding_dense_backward,6,2.00,1611.6,537.2,0.34,268.61
aten::_foreach_mul_,3,1.00,1092.5,364.2,0.23,364.15
aten::nll_loss_backward,3,1.00,987.6,329.2,0.21,329.19
aten::nll_loss_forward,3,1.00,961.1,320.4,0.20,320.38
aten::_foreach_norm,3,1.00,589.8,196.6,0.13,196.59
aten::gather,6,2.00,238.7,79.6,0.05,39.79
aten::sum,3,1.00,115.4,38.5,0.02,38.47
aten::arange,12,4.00,31.3,10.4,0.01,2.61
aten::_foreach_add_,6,2.00,31.1,10.4,0.01,5.19
aten::linalg_vector_norm,3,1.00,18.8,6.3,0.00,6.28
aten::clamp,3,1.00,15.9,5.3,0.00,5.29
aten::mul,3,1.00,15.4,5.1,0.00,5.14
aten::reciprocal,3,1.00,14.8,4.9,0.00,4.94
