aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::_flash_attention_backward,"[[48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [48, 12, 1024], [], [], [], [], [], [], [], [], [], [], []]",36,12.00,101893.5,33964.5,21.66,2830.38
aten::mm,"[[49152, 768], [768, 3072]]",72,24.00,33696.1,11232.0,7.16,468.00
aten::mm,"[[49152, 3072], [3072, 768]]",72,24.00,28593.0,9531.0,6.08,397.12
aten::_flash_attention_forward,"[[48, 1024, 12, 64], [48, 1024, 12, 64], [48, 1024, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",36,12.00,27223.8,9074.6,5.79,756.22
aten::mm,"[[49152, 768], [768, 50304]]",3,1.00,22288.7,7429.6,4.74,7429.58
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",75,25.00,21535.4,7178.5,4.58,287.14
aten::copy_,"[[49152, 50304], [49152, 50304], []]",6,2.00,20553.4,6851.1,4.37,3425.57
aten::mm,"[[49152, 50304], [50304, 768]]",3,1.00,18648.2,6216.1,3.96,6216.07
aten::mm,"[[50304, 49152], [49152, 768]]",3,1.00,17980.5,5993.5,3.82,5993.50
aten::mm,"[[3072, 49152], [49152, 768]]",36,12.00,15221.0,5073.7,3.24,422.81
aten::mm,"[[768, 49152], [49152, 3072]]",36,12.00,14966.6,4988.9,3.18,415.74
aten::mm,"[[49152, 768], [768, 2304]]",36,12.00,12922.1,4307.4,2.75,358.95
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",3,1.00,12285.6,4095.2,2.61,4095.19
aten::mm,"[[2304, 49152], [49152, 768]]",36,12.00,11826.9,3942.3,2.51,328.52
aten::mm,"[[49152, 2304], [2304, 768]]",36,12.00,11692.5,3897.5,2.49,324.79
aten::_log_softmax,"[[49152, 50304], [], []]",3,1.00,11454.5,3818.2,2.44,3818.16
aten::copy_,"[[48, 1024, 768], [48, 1024, 768], []]",222,74.00,11454.5,3818.2,2.44,51.60
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",36,12.00,9919.1,3306.4,2.11,275.53
aten::mm,"[[49152, 768], [768, 768]]",72,24.00,9818.3,3272.8,2.09,136.37
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",75,25.00,7561.0,2520.3,1.61,100.81
aten::add_,"[[48, 1024, 768], [48, 1024, 768], []]",72,24.00,7014.9,2338.3,1.49,97.43
aten::gelu,"[[48, 1024, 3072], []]",36,12.00,6539.4,2179.8,1.39,181.65
aten::cat,"[[], []]",39,13.00,6078.7,2026.2,1.29,155.86
aten::fill_,"[[49152, 50304], []]",3,1.00,6020.1,2006.7,1.28,2006.69
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",72,24.00,5856.8,1952.3,1.25,81.34
aten::mm,"[[768, 49152], [49152, 768]]",36,12.00,4888.2,1629.4,1.04,135.78
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",6,2.00,3592.0,1197.3,0.76,598.66
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",3,1.00,1357.5,452.5,0.29,452.50
aten::_foreach_mul_,"[[], []]",3,1.00,1092.5,364.2,0.23,364.15
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], []]",3,1.00,987.6,329.2,0.21,329.19
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], []]",3,1.00,961.1,320.4,0.20,320.38
aten::copy_,"[[768, 3072], [768, 3072], []]",72,24.00,645.3,215.1,0.14,8.96
aten::_foreach_norm,"[[], [], []]",3,1.00,589.8,196.6,0.13,196.59
aten::copy_,"[[768, 768], [768, 768], []]",72,24.00,442.1,147.4,0.09,6.14
aten::copy_,"[[3072, 768], [3072, 768], []]",72,24.00,440.8,146.9,0.09,6.12
aten::copy_,"[[2304, 768], [2304, 768], []]",72,24.00,421.0,140.3,0.09,5.85
aten::copy_,"[[50304, 768], [50304, 768], []]",6,2.00,308.6,102.9,0.07,51.44
aten::add_,"[[50304, 768], [50304, 768], []]",3,1.00,284.0,94.7,0.06,94.65
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",3,1.00,254.1,84.7,0.05,84.71
aten::add,"[[48, 1024, 768], [1024, 768], []]",3,1.00,232.8,77.6,0.05,77.59
aten::gather,"[[50304, 768], [], [49152, 768], [], [49152, 768]]",3,1.00,222.3,74.1,0.05,74.10
aten::fill_,"[[1], []]",36,12.00,211.7,70.6,0.05,5.88
aten::sum,"[[48, 1024, 768], [], [], []]",3,1.00,115.4,38.5,0.02,38.47
aten::fill_,"[[50304, 768], []]",3,1.00,82.0,27.3,0.02,27.33
aten::arange,"[[], [], [], [0]]",6,2.00,31.3,10.4,0.01,5.22
aten::_foreach_add_,"[[], []]",6,2.00,31.1,10.4,0.01,5.19
aten::linalg_vector_norm,"[[75], [], [], [], []]",3,1.00,18.8,6.3,0.00,6.28
aten::fill_,"[[1024, 768], []]",3,1.00,18.1,6.0,0.00,6.03
aten::gather,"[[1024, 768], [], [1024, 768], [], [1024, 768]]",3,1.00,16.4,5.5,0.00,5.48
aten::clamp,"[[], [], []]",3,1.00,15.9,5.3,0.00,5.29
aten::fill_,"[[44250], []]",3,1.00,15.6,5.2,0.00,5.20
aten::mul,"[[], []]",3,1.00,15.4,5.1,0.00,5.14
aten::reciprocal,[[]],3,1.00,14.8,4.9,0.00,4.94
aten::add,"[[], [], []]",3,1.00,14.8,4.9,0.00,4.93
aten::fill_,"[[], []]",3,1.00,14.3,4.8,0.00,4.78
