aten_op,input_shapes,calls,calls_per_step,self_gpu_time_us,self_gpu_us_per_step,self_gpu_pct,avg_us_per_call
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 50304], [50304, 768], []]",6,2.00,49490.0,16496.7,12.42,8248.33
aten::linear_backward,"[[48, 1024, 3072], [48, 1024, 768], [768, 3072], []]",72,24.00,38149.2,12716.4,9.58,529.85
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 3072], [3072, 768], []]",72,24.00,36178.0,12059.3,9.08,502.47
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 2304], [2304, 768], []]",72,24.00,31457.4,10485.8,7.90,436.91
aten::linear,"[[48, 1024, 768], [50304, 768], []]",9,3.00,27025.0,9008.3,6.78,3002.78
aten::_to_copy,"[[49152, 50304], [], [], [], [], [], []]",12,4.00,23015.6,7671.9,5.78,1917.97
aten::linear,"[[48, 1024, 768], [3072, 768], []]",108,36.00,19543.5,6514.5,4.91,180.96
aten::linear,"[[48, 1024, 3072], [768, 3072], []]",108,36.00,18626.9,6209.0,4.68,172.47
aten::_log_softmax_backward_data,"[[49152, 50304], [49152, 50304], [], []]",6,2.00,15824.2,5274.7,3.97,2637.36
aten::native_layer_norm_backward,"[[48, 1024, 768], [48, 1024, 768], [], [48, 1024, 1], [48, 1024, 1], [768], [], []]",150,50.00,15177.5,5059.2,3.81,101.18
aten::linear,"[[48, 1024, 768], [2304, 768], []]",108,36.00,14702.3,4900.8,3.69,136.13
aten::_log_softmax,"[[49152, 50304], [], []]",6,2.00,14480.2,4826.7,3.63,2413.36
aten::add,"[[48, 1024, 768], [48, 1024, 768], []]",288,96.00,14203.0,4734.3,3.57,49.32
aten::_to_copy,"[[48, 1024, 768], [], [], [], [], [], []]",444,148.00,13959.3,4653.1,3.50,31.44
aten::linear_backward,"[[48, 1024, 768], [48, 1024, 768], [768, 768], []]",72,24.00,11193.0,3731.0,2.81,155.46
aten::gelu_backward,"[[48, 1024, 3072], [48, 1024, 3072], []]",72,24.00,9192.4,3064.1,2.31,127.67
aten::gelu,"[[48, 1024, 3072], []]",72,24.00,7889.7,2629.9,1.98,109.58
aten::nll_loss_backward,"[[], [49152, 50304], [49152], [], [], [], [], [49152, 50304]]",3,1.00,5909.2,1969.7,1.48,1969.75
aten::clone,"[[48, 1024, 12, 64], []]",288,96.00,5501.1,1833.7,1.38,19.10
aten::native_layer_norm,"[[48, 1024, 768], [], [768], [], []]",150,50.00,5305.5,1768.5,1.33,35.37
aten::linear,"[[48, 1024, 768], [768, 768], []]",108,36.00,4981.5,1660.5,1.25,46.12
aten::cat,"[[], []]",72,24.00,4380.4,1460.1,1.10,60.84
aten::_fused_adamw_,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",12,4.00,2958.1,986.0,0.74,246.51
aten::add_,"[[], [], []]",225,75.00,2270.0,756.7,0.57,10.09
aten::stack,"[[], []]",6,2.00,1085.0,361.7,0.27,180.83
aten::embedding_dense_backward,"[[48, 1024, 768], [48, 1024], [], [], []]",6,2.00,1031.5,343.8,0.26,171.92
aten::_foreach_mul_,"[[], []]",6,2.00,805.2,268.4,0.20,134.20
aten::_foreach_norm,"[[], [], []]",6,2.00,522.7,174.2,0.13,87.11
aten::_to_copy,"[[768, 3072], [], [], [], [], [], []]",144,48.00,453.6,151.2,0.11,3.15
aten::_to_copy,"[[3072, 768], [], [], [], [], [], []]",144,48.00,446.3,148.8,0.11,3.10
aten::_to_copy,"[[2304, 768], [], [], [], [], [], []]",144,48.00,414.5,138.2,0.10,2.88
aten::embedding,"[[50304, 768], [48, 1024], [], [], []]",6,2.00,412.0,137.3,0.10,68.66
aten::_to_copy,"[[50304, 768], [], [], [], [], [], []]",12,4.00,406.6,135.5,0.10,33.88
aten::_to_copy,"[[768, 768], [], [], [], [], [], []]",144,48.00,393.1,131.0,0.10,2.73
aten::add,"[[50304, 768], [50304, 768], []]",6,2.00,322.4,107.5,0.08,53.74
aten::add,"[[48, 1024, 768], [1024, 768], []]",6,2.00,275.5,91.8,0.07,45.91
aten::sum,"[[48, 1024, 768], [], [], []]",6,2.00,124.2,41.4,0.03,20.70
aten::embedding_dense_backward,"[[1024, 768], [1024], [], [], []]",6,2.00,61.3,20.4,0.02,10.21
aten::linalg_vector_norm,"[[75], [], [], [], [], []]",3,1.00,61.0,20.3,0.02,20.34
aten::nll_loss_forward,"[[49152, 50304], [49152], [], [], [], [], []]",3,1.00,35.4,11.8,0.01,11.78
aten::arange,"[[], [], [], [0]]",6,2.00,27.5,9.2,0.01,4.58
aten::embedding,"[[1024, 768], [1024], [], [], []]",6,2.00,19.0,6.3,0.00,3.17
aten::mul,"[[], []]",6,2.00,15.1,5.0,0.00,2.52
aten::clamp,"[[], [], []]",6,2.00,15.0,5.0,0.00,2.50
aten::add,"[[], [], []]",6,2.00,14.9,5.0,0.00,2.48
aten::reciprocal,[[]],6,2.00,14.8,4.9,0.00,2.46
aten::ones_like,"[[], [], [], [], [], []]",6,2.00,14.7,4.9,0.00,2.45
