label,role,m,n,k,transpose_a,transpose_b,calls_per_step,rocm_us,rocm_us_p10,rocm_us_p90,tflops
attn_c_attn_fwd,fwd,49152,2304,768,0,1,12,382.56,379.84,387.79,454.7
attn_c_attn_dgrad,dgrad,49152,768,2304,0,0,12,343.44,340.71,347.99,506.5
attn_c_attn_wgrad,wgrad,2304,768,49152,1,0,12,360.16,353.83,367.04,483.0
attn_c_proj_fwd,fwd,49152,768,768,0,1,12,158.05,157.17,162.14,366.9
attn_c_proj_dgrad,dgrad,49152,768,768,0,0,12,141.38,140.81,145.49,410.1
attn_c_proj_wgrad,wgrad,768,768,49152,1,0,12,152.15,151.22,157.37,381.1
mlp_c_fc_fwd,fwd,49152,3072,768,0,1,12,498.14,495.71,501.03,465.6
mlp_c_fc_dgrad,dgrad,49152,768,3072,0,0,12,434.10,427.77,448.20,534.3
mlp_c_fc_wgrad,wgrad,3072,768,49152,1,0,12,460.34,454.47,473.11,503.8
mlp_c_proj_fwd,fwd,49152,768,3072,0,1,12,426.62,422.75,433.85,543.6
mlp_c_proj_dgrad,dgrad,49152,3072,768,0,0,12,467.98,465.02,472.84,495.6
mlp_c_proj_wgrad,wgrad,768,3072,49152,1,0,12,452.09,446.00,467.59,513.0
lm_head_fwd,fwd,49152,50304,768,0,1,1,7655.58,7618.23,7674.40,496.1
lm_head_dgrad,dgrad,49152,768,50304,0,0,1,6456.53,6409.04,6497.99,588.2
lm_head_wgrad,wgrad,50304,768,49152,1,0,1,6203.16,6157.17,6250.75,612.2
